timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1628490364416,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490365416,74409,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490365416,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490365416,25060000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490366417,74369,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490366417,99408,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490366417,23576000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490367502,74633,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490367502,99641,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490367502,59752000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490368502,74615,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490368502,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490368502,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490369503,74609,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490369503,99682,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490369503,1358000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490370503,74652,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490370503,99536,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490370503,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490371559,74508,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490371559,99846,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490371559,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490372838,74402,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490372838,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490372838,595000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490373855,74557,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490373855,99806,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490373855,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490374932,74577,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490374932,99625,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490374932,1358000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490375933,74272,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490375933,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490375933,27370000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490377265,74253,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490377265,99833,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490377265,23134000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490378266,74311,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490378266,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490378266,84000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490379266,74317,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490379266,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490379266,2617000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490380273,74314,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490380273,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490380273,4863000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490381335,74392,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490381335,99628,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490381335,2121000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490382336,74359,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490382336,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490382336,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490383466,74451,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
